Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Synpol Products Private Limited,synpolproducts.net,Ahmedabad,Performance Chemicals / Specialty Resins (Basket A - Coatings & Resins),"Synthetic resins and auxiliary chemicals: Epoxy resins, Amino resins, Acrylic resins, Phenol Formaldehyde resins, Ketone resins, Polyamide resins. Focus on import substitution. Products used in pharma, textiles, paints, industrial coatings. 50+ years in operation.",Rs.50-100Cr (Revenue Rs.56.3Cr FY25 confirmed; 40% CAGR FY25; EBITDA CAGR 368%),Vinod J. Kothari (Chairman/MD - founder) + Manish Joshi (Director),Chairman & MD + Director,Founders are post-graduate degree holders in Paints & Coatings from Department of Chemical Technology University of Bombay - classic science/technical-founder archetype. Explicitly set up company to develop import-substitute specialty products in India.,Strong,Manufacturing plant at Odhav Ahmedabad (77 GVMSA Vasahat Ltd). ISO 9001:2015 certified. In-house production of synthetic resins confirmed. Not a trader - own manufacturing infrastructure 50+ years old.,Strong,Manufacturing and HQ at Odhav Ahmedabad. CIN U24299GJ1973PTC002440 ROC Ahmedabad. Full Gujarat operational presence.,Strong,Import substitution focus from founding (1964) - designed to replace foreign specialty resins. 50+ years of formulation depth. Broad resin portfolio (7+ resin types) in a technically complex chemistry space. ISO 9001:2015 certified. EBITDA CAGR 368% in FY25 shows strong product margins developing.,Moderate,Founders are post-graduate in Paints/Coatings (technical background confirmed). Director Manish Joshi on record. However: no IIT/PhD or DSIR confirmation. Gen-2 transition status unclear - verify on MCA/LinkedIn.,Strong,Specialty resins for paints/coatings = Make-in-India beneficiary. Import substitution directly aligned with government policy. Coating industry growing with construction boom. Pharma-grade resins in growth segment.,Strong,Revenue Rs.56.3Cr FY25 with 40% CAGR (Tracxn). EBITDA CAGR 368% - massive profitability jump. 83-90 employees. AGM Sep 2024 - active filings. Incorporated 1973 but showing sharp recent growth. Signals: Financial (40% CAGR) + Website active.,72,B - Probable Federer,Strong Pass,"Technically-founded company (PG in Chemical Technology) with 50+ years of specialty resin manufacturing and sharp recent growth (40% revenue CAGR FY25, EBITDA up 368%). Import substitution core positioning. Verify Gen-2 transition and ERP/SAP before finalising - if confirmed, moves to A-band.",Built India's import-substitute specialty resin portfolio from scratch in 1964 - 50 years before Make-in-India made it fashionable,"synpolproducts.net; Tracxn (Rs.56.3Cr FY25, 40% CAGR); ZoomInfo; Crunchbase; Zaubacorp CIN U24299GJ1973PTC002440; TechnoIndia profile"
Narayan Organics Pvt Ltd,narayanorganics.com,Ahmedabad,Performance Chemicals - Phthalocyanine Pigments (Basket A),"Copper Phthalocyanine Crude Blue + derivatives (Pigment Blue 15.0/15.1/15.3, Pigment Green 7); Copper Salts (Cuprous Chloride, Cupric Chloride, Ammonium Molybdate); Reactive & Direct Dyes via Narayan Dyestuff subsidiary",Rs.100-500Cr (Rs.193Cr FY22; FY23 same band - EBITDA declined 56.87% FY23),Dahyabhai Narandas Patel (Founder/MD); Mehul Dahyabhai Patel (Director gen-2); Purav Dahyabhai Patel (Director gen-2),Founder MD + 2 Gen-2 Directors,Founder M.Sc. Chemistry + 10+ years industry pre-founding. Mehul Patel (gen-2) NYIT educated; elected Vice-Chairman CHEMEXCIL. Science-family foundation.,Strong,5 manufacturing facilities Gujarat. Naroda GIDC Ahmedabad + Ankleshwar plant. 18000 MT/year group capacity. Vertically integrated - own Copper Salts raw material division since 1985.,Strong,HQ Sindhubhavan Road Thaltej Ahmedabad. Plant Naroda GIDC Ahmedabad. Operational presence confirmed.,Moderate,Top 10 CuPc manufacturer India. Exports 30+ countries. Vertically integrated - produces own Copper Salts upstream (competitors buy externally). R&D section on website. Nominated Modern Plastics Award 2023. Capability moat over IP moat.,Moderate,Founder M.Sc. Chemistry 40yr domain expertise. Gen-2 Mehul Patel NYIT educated + Vice-Chairman CHEMEXCIL - industry systems leadership. No IIT/PhD. No ERP/SAP evidence.,Strong,Specialty pigments PLI eligible. China+1 direct beneficiary - India global CuPc hub. Exports 30+ countries active. CHEMEXCIL member. Make-in-India push.,Moderate,2 of 5 signals: Active hiring (Techno-Commercial posting Ahmedabad on LinkedIn). CHINA COAT 2025 international exhibition (Hall W1 Booth B47). CAUTION: EBITDA -56.87% FY23 + networth -14.69%.,56,C - Borderline,Borderline ,Genuine specialty chemical manufacturer vertical integration strong export presence. Revenue band fits. Sector tailwinds very strong. Gen-2 active. BUT C7=0 no ERP evidence structural gap. EBITDA decline FY23 financial stress. If SAP/ERP found moves to B-band.,Built India's only vertically integrated Phthalocyanine operation - manufacturing own Copper Salts upstream since 1985 - scaled to Top 10 India exporting 30+ countries while peers still source raw materials externally.,narayanorganics.com; narayan-pigments.com; indiamart; tofler.in; zaubacorp.com; tracxn.com; linkedin.com/company/narayan-organics-private-limited; linkedin.com/in/narayan-organics-pvt-ltd-mehul-patel; modernplasticsaward.com
Ascent Finechem Private Limited,ascentfinechem.com,Ahmedabad,Custom Synthesis & Specialty Fine Chemicals - Basket A,"Anisic Aldehyde and derivatives (key starting materials for pharma + F&F), API intermediates, custom synthesis for pharma/flavours/fragrances/performance chemicals. CDMO from lab to industrial scale.",Rs.50-100Cr (Rs.95.5Cr FY24; EBITDA +5.4% YoY; networth +17.8% YoY),Anil M Jain (Founder & MD); Yashvardhan Jain (Director - gen-2),Founder MD + Gen-2 Director,"Founder Anil M Jain built company from 2004 - serial entrepreneur, angel investor in 1 startup. Technical domain depth in anisic aldehyde chemistry (specialty fine chemicals). Gen-2 Yashvardhan Jain formally appointed Director Oct 2021. No IIT/PhD publicly confirmed but founder-operator with strong specialty chemistry track record.",Strong,Own manufacturing + CDMO facility in Ahmedabad. State-of-the-art plant using 80%+ renewable energy. Lab-to-industrial scale synthesis capability. ISO 9001 certified. Not a trader - produces proprietary specialty fine chemicals. E1 PASS.,Strong,HQ at One 42 South Tower Bodakdev Ahmedabad. Manufacturing facility in Ahmedabad Gujarat. Full operational presence confirmed.,Strong,Anisic Aldehyde specialist - leading global supplier of this niche molecule used across pharma + F&F industries. Star Export House (Govt of India recognized). Custom synthesis from lab to industrial scale. 80%+ renewable energy = sustainability differentiation. Deep product specialization in one molecule family = strong capability moat.,Moderate,Founder Anil Jain is technical operator with deep specialty chemistry focus (20+ years in anisic aldehyde derivatives). Gen-2 Yashvardhan Jain formally on board Oct 2021 - succession in progress. Angel investor activity shows external systems thinking. No IIT/PhD or confirmed ERP/SAP. Moderate - operator with product depth but no confirmed formal systems.,Strong,API intermediates = global pharma tailwind. Flavours & fragrances = growing India + export market. Performance chemicals = China+1 beneficiary. Star Export House = active global demand confirmed.,Moderate,"Rs.95.5Cr revenue FY24 - EBITDA +5.4% YoY (modest), networth +17.8%. AGM held Sep 2024. FY25 financials filed Mar 2025. Active export operations. 2 signals met: Financial (17.8% networth growth) + Active filing. CAUTION: EBITDA growth only 5.4% - margin pressure possible.",65,B - Probable Federer,Probable Pass ,"Genuine specialty fine chemical company with strong product moat in anisic aldehyde derivatives. Star Export House + CDMO capability + renewable energy investment = operator thinking signs. Gen-2 formally on board. C4 moderate - no IIT/PhD, no confirmed ERP. Revenue Rs.95Cr is slightly below Rs.100Cr threshold - verify FY25 revenue to confirm in-band. EBITDA growth weak at 5.4% - investigate margin pressure before outreach. If FY25 revenue crossed Rs.100Cr, upgrades to stronger B-band.",India ka ek specialised anisic aldehyde manufacturer - pharma aur flavour & fragrance companies worldwide ko lab-to-industrial scale CDMO services deta hai - 80% renewable energy ke saath sustainability-driven chemistry.,ascentfinechem.com; Tracxn (Rs.95.5Cr revenue FY24; angel investor profile); TheCompanyCheck (MCA filings; Yashvardhan Jain director Oct 2021); Tofler (EBITDA +5.4%; networth +17.8% FY24); ZoomInfo (80% renewable energy; CDMO capability); RocketReach (Star Export House)
Vasu Healthcare Pvt Ltd,vasuhealthcare.com,Ahmedabad,Specialty Ayurvedic + Nutraceutical Ingredients - Basket B,"Ayurvedic formulations, nutraceutical ingredients, herbal extracts - branded Ayurveda + private label manufacturing. GMP certified.",Rs.100-500Cr est,Vasu Group Founders,MD / Directors,Long-standing Ayurveda specialists. Technical botanical/chemistry knowledge. ISO + GMP certified manufacturing.,Strong,Manufacturing plant Ahmedabad. ISO + GMP certified facility. In-house production confirmed.,Strong,Ahmedabad operations confirmed.,Moderate,GMP certified Ayurveda + nutraceutical manufacturer. Branded products + private label CDMO. Long-standing market position.,Moderate,Technical Ayurveda founders. Domain expertise confirmed. ERP not confirmed publicly.,Strong,Ayurveda + nutraceuticals = massive global tailwind. D2C boom. Export markets growing. Government support for Ayush.,Moderate,Long-standing company. Revenue stable. Active website. 1-2 signals.,58,C - Borderline,Borderline ,Ayurveda + nutraceutical manufacturer with GMP certification. Sector tailwinds very strong. But C7 unconfirmed and need to verify revenue band. Research further before including.,GMP-certified Ayurvedic manufacturer doing both branded Ayurveda and private-label nutraceutical CDMO - two revenue streams most Ayurveda companies don't combine.,vasuhealthcare.com; indiamart; tofler.in
Rohan Dyes and Intermediates Ltd,rohandyes.com,Ahmedabad,Specialty Chemicals - Dye Intermediates & Backward Integrated Sulphur Chemicals (Basket A),"Reactive dyes, acid dyes, direct dyes, H-acid, DASA, vinyl sulphone; backward integrated sulphuric acid (1,50,000 MT capacity), oleum, chlorosulphonic acid, liquid SO3",Rs.100-500Cr (Rs.190Cr FY25; 21% revenue CAGR; 22% EBITDA CAGR),Radheshyam Jindal (Founder/MD); Rohan Jindal (Director gen-2),Founder MD + Gen-2 Director,"Founder Radheshyam Jindal - built company from 1989, 35+ years specialty chemicals. Gen-2 Rohan Jindal (Manipal Academy) - formally on board, led company's pivot into basic chemicals and backward integration. No IIT/PhD confirmed.",Strong,"3 backward-integrated manufacturing units across 110 acres at Vatva GIDC Ahmedabad + Khambhat Gujarat. In-house sulphuric acid synthesis, oleum, chlorosulphonic acid all produced. Dedicated R&D and QC labs. 200+ employees. Not a trader.",Strong,Primary manufacturing at Vatva GIDC Ahmedabad. Admin office at Venus Stratum Satellite Road Ahmedabad. Operational presence fully confirmed.,Strong,"Full backward integration into inorganic acid chain - 1,50,000 MT sulphuric acid + 40,000 MT oleum + 50,000 MT chlorosulphonic acid + 25,000 MT liquid SO3 all in-house. Very few Indian dye intermediates players achieve this level of vertical integration. ISO 9001:2015 certified. Raw acid synthesis = real capital and process moat over competitors who buy externally.",Moderate,Founder Radheshyam Jindal 35+ year operator - large capex decisions and backward integration show strong business judgment. Gen-2 Rohan Jindal (Manipal Academy) formally on board and led basic chemicals diversification. No IIT/PhD or ex-DRDO pedigree. No ERP/SAP confirmed - job postings mention Tally/basic ERP only. Operator archetype with moderate systems evidence.,Strong,"Specialty dye intermediates = direct China+1 beneficiary. China historically dominates H-acid and vinyl sulphone global supply - Indian Gujarat cluster actively filling that gap. Exports confirmed to Europe, China, South Korea, Taiwan. PLI-adjacent sector with active government push for specialty chemicals.",Moderate,2 of 5 signals met: (1) Financial - Rs.190Cr FY25 revenue at 21% CAGR + 22% EBITDA CAGR confirmed via Tracxn. (2) Facility - New backward integration plant at Anand Gujarat + 2.10 MW captive solar power plant under implementation. CAUTION: Issuer Not Cooperating flag active across Acuite (rated ACUITE C Jan 2025) + ICRA + Brickwork since 2022 - financial transparency risk. 47 open roles Glassdoor but employee count data inconsistent across sources.,66,B - Probable Federer,Probable Pass - Flag: Issuer Not Cooperating,Strong backward integration moat and clear China+1 tailwind. 21% revenue CAGR and active capacity expansion confirm growth trajectory. However: C4 moderate (no IIT/PhD; Manipal grad gen-2; Tally-level systems only). Critical flag: Issuer Not Cooperating across 3 rating agencies since 2022 - company refusing to share financials with rating agencies is a transparency red flag for DT engagement. Include with explicit caveat - verify promoter openness to structured processes before outreach.,"One of the few Indian dye intermediates manufacturers who synthesizes its own sulphuric acid, oleum, and chlorosulphonic acid in-house - building backward integration depth that most Gujarat competitors simply buy from external suppliers.",rohandyes.com; LinkedIn company page (Rohan Dyes & Intermediates Limited); Tracxn FY25 financials; Acuite rating press release Jan 2025 (ACUITE C - Issuer Not Cooperating); MCA director filings via ZaubaCorp; Glassdoor job listings; Indiamart company profile; Tofler financial data
Loxim Industries Limited,loxim.com,Ahmedabad,Specialty Dyes & Engineering Plastics - Basket A,"Acid dyes, reactive dyes, direct dyes, paper dyes, textile dyes - specialty non-commodity applications; Engineering plastics distribution (licensed partner with global resin manufacturers); Entering pharma (API/intermediate) vertical 2024",Rs.100-500Cr (Rs.227Cr FY25; 26% revenue CAGR; 195% EBITDA CAGR),Jay Patel (Founder); Falguni Canon Patel / Jayprakash Maneklal Patel (Directors),Founder & Directors,Founder Jay Patel completed Chemical Engineering from USA and returned to India in 1977 to build import-substitute dyes. Operator-founder archetype - 45+ year track record of building a diversified specialty chemicals company. Now entering pharma API/intermediate vertical via new R&D hiring.,Strong,"Manufacturing facilities at Ahmedabad and Sanand Gujarat. ISO 9001:2015 certified. In-house production of specialty dyes for paper, textile, and ink industries. Own R&D centre. Not a trader - produces proprietary specialty formulations.",Strong,HQ Bodakdev Ahmedabad. Manufacturing at Sanand near Ahmedabad. Full operational presence in Gujarat confirmed.,Moderate,"Specialty non-commodity dyes - paper dyes, reactive, acid, direct. Licensed manufacturing with global resin partners (differentiation via access to global technology). New pharma API/intermediate vertical entering 2024 with R&D investment. ISO 9001:2015. No confirmed DSIR or patent-level moat - moderate differentiation.",Moderate,Founder Jay Patel is Chemical Engineering graduate from USA - technical operator who built from scratch. 45+ year track record. Now actively diversifying into pharma - shows systems and growth mindset. No confirmed ERP/SAP data publicly. Moderate - operator-founder with strong domain depth.,Strong,"Specialty dyes for paper, packaging, textile = China+1 direct beneficiary. Engineering plastics distribution = import substitution wave. Pharma API entry = additional tailwind. Multiple sector tailwinds active.",Strong,Rs.227Cr FY25 revenue at 26% CAGR + 195% EBITDA CAGR = strong financial momentum. New pharma vertical announced with walk-in hiring Feb 2024 in Vadodara. 100 employees as of Jul 2025. 3 signals met: Financial + Hiring + New sector diversification.,72,B - Probable Federer,Probable Pass,"Solid specialty dyes manufacturer with 45-year legacy and explosive financial momentum (195% EBITDA CAGR). Founder with Chemical Engineering from USA gives technical credibility. New pharma vertical entry signals growth mindset. C3 moderate - lacks patent/DSIR-level IP moat. C4 moderate - ERP/SAP not confirmed. If systems verification positive, strong A-band candidate.",1977 se Ahmedabad mein specialty dyes manufacturer - ab engineering plastics aur pharma API mein diversify kar raha hai - 195% EBITDA CAGR ke saath quietly compounding into multiple sectors.,loxim.com; IndiaMART company profile; LinkedIn company page (Loxim Industries Limited); Tracxn FY25 financials (Rs.227Cr revenue; 26% CAGR; 195% EBITDA CAGR); Tofler company details; EMIS company profile
Crest Speciality Resins Private Limited,crestresins.com,Ahmedabad,Performance Chemicals - Specialty Resins (Basket A),"Unsaturated polyester resins, vinyl ester resins, coil coating resins, FR (flame retardant) resins, gel coats, C'POL high heat-resistant resins (Silicon Modified Polyester + Epoxy), saturated polyester resins - for composites, infrastructure, wind energy, marine, industrial coating applications",Rs.100-500Cr (operating revenue band confirmed FY24; EBITDA +17.69% YoY; networth +20.32%),Founder/Chairman (BITS Pilani alumnus); Ranjit Singh / Ranjitbhai Sen / Susantakumar Pramanik (Directors),Founder Chairman + Professional Directors,Founder is an alumnus of BITS Pilani - premier engineering institution. Active in oversight of operations. Board includes professional non-family directors including Susantakumar Pramanik. Department of Science & Technology (Govt of India) has approved the company's R&D Centre.,Strong,Manufacturing unit at Ahmedabad (original Unsaturated Polyester + Vinyl Ester Resins). State-of-the-art facility at Kheda Gujarat (new expanded plant). Branch operations across India. In-house R&D centre with DST approval. 289 employees. Not a trader - designs and manufactures proprietary resin formulations.,Strong,HQ Ahmedabad. Manufacturing at Ahmedabad + Kheda Gujarat. Sales offices pan-India. Full operational presence confirmed.,Strong,"DST (Dept of Science & Technology, Govt of India) approved R&D Centre - government-confirmed research capability. Proprietary C'POL range of high heat-resistant resins (Silicon Modified Polyester + Epoxy). Tailor-made resin solutions for complex applications. Capacity expansion at Kheda + Dharwad Karnataka. IP-based + capability-based dual moat.",Strong,"BITS Pilani founder with 35+ years in specialty composites. DST R&D approval confirms technical depth. Non-family professional directors on board (Susantakumar Pramanik). Signs of structured governance - independent directors, multi-plant professional management.",Strong,"Specialty resins for wind energy, marine, infrastructure composites = strong tailwinds. PLI scheme in composites + chemicals. China+1 beneficiary in specialty polymers. Make-in-India infrastructure push drives demand for FR resins + structural composites.",Strong,EBITDA +17.69% YoY (FY24). Networth +20.32%. New facility operational at Kheda. Capacity expansion at Dharwad Karnataka. Filed FY25 financials (Mar 2025). AGM held Sep 2025. 3 signals met: Financial + Facility + Active filing.,82,A - Strong Federer,Strong Pass,Strong Federer profile. BITS Pilani founder with DST R&D approval - rare combination of academic pedigree and government-confirmed research capability. Proprietary high-performance resin formulations (C'POL range) for wind energy and industrial applications. Non-family directors on board signal structured governance. Multi-plant expansion confirms active growth. Primary gap: promoter identity not fully public - verify BITS Pilani founder name and confirm ERP systems before final outreach.,DST-approved R&D centre making high heat-resistant specialty resins for wind energy and composite infrastructure - one of the few Indian resin manufacturers with government-recognized research capability building India's composites ecosystem.,crestresins.com; Tofler (operating revenue FY24 Rs.100-500Cr; EBITDA +17.69%); TheCompanyCheck (289 employees; MCA filings); Tracxn legal entity profile; ZaubaCorp director data; EMIS company profile; Indiamart profile
Vasa Pharma Chem Pvt Ltd,vasapharmachem.com,Ahmedabad,Pharma Excipients - Basket A,"Mineral salts + excipients - Croscarmellose Sodium, Gluconates, Citrates, Stearates for pharma/nutraceuticals/food",Rs.75-100Cr,Jaimin Vasa / Vaishaliben Vasa,Directors,Jaimin Rasiklal Vasa - founder/director. Vaishaliben Jaiminbhai Vasa - director. Family-run.,Strong,Two state-of-art facilities Ahmedabad. Zero discharge policy. In-house mineral salts + excipients production.,Strong,Paldi Ahmedabad HQ + facilities Gujarat.,Moderate,Specialty excipients + mineral salts. Croscarmellose sodium superdisintegrant. Niche pharma ingredients. CPHI exhibitor. QC protocols strong.,Moderate,Family directors only - Jaimin + Vaishaliben. No technical background directly confirmed. 112 employees.,Strong,Pharma excipients + nutraceuticals China+1 + Make-in-India. Multiple sector tailwinds.,Moderate,Networth +29.85% FY24. Profit +8.86%. AGM Sep 2025 active. 112 employees Oct 2024. 1-2 signals.,66,B - Probable Federer,Probable Pass,1988 specialty excipients manufacturer. Zero discharge policy. CPHI exhibitor. Networth growing strongly. Verify ERP + technical background.,1988 se pharma excipients specialist - mineral salts se superdisintegrants tak - zero discharge Ahmedabad facilities.,vasapharmachem.com; IndiaMart; CPHI; Tracxn; Tofler
Aegis Lifesciences Pvt Ltd,aegis-lifesciences.com,Ahmedabad,Medical Devices - Basket B,"Absorbable haemostats - SURGISPON gelatin sponges, SURGI-ORC oxidized cellulose, SURGI-PVA nasal packs, DENTOSPON dental sponge",Rs.200-300Cr,Rajeev Gupta / Ranil Gupta,Director / Director gen-2,Rajeev Gupta - founder. Ranil Gupta - gen-2 formally on board. Both directors MCA confirmed.,Strong,Changodar Ahmedabad manufacturing facility. In-house production haemostats + ORC + PVA. State-of-art facilities.,Strong,Changodar Ahmedabad plant + Moraiya Gujarat.,Strong,ISO 13485 + MDSAP + CE Class III + USFDA registered. SURGISPON/SURGI-ORC/DENTOSPON proprietary brands. 80+ countries. World leading haemostat manufacturer.,Strong,Gen-2 Ranil Gupta formally on board MCA. Hiring EA to Director + Purchase Manager 2026 = structured management building.,Strong,Medical devices = strongest tailwind. 80+ countries exports - Europe USA UK NHS. WHO/UNICEF supply markets.,Strong,Active hiring multiple roles 2026. MDSAP recent certification. 80+ countries growing. AGM Sep 2025 active. 3+ signals.,89,A - Strong Federer,Strong Pass,World leading haemostat manufacturer. USFDA + CE Class III + MDSAP + ISO 13485. Gen-2 formally on board. 80+ countries. Ahmedabad manufacturing confirmed.,2008 se Ahmedabad mein world-leading haemostat manufacturer - SURGISPON brand 80+ countries NHS UK se USFDA registered - CE Class III + MDSAP certified.,aegis-lifesciences.com; LinkedIn; ZoomInfo; Tofler; ZaubaCorp
Altrafine Gums Pvt Ltd,altrafine.com,Ahmedabad,Specialty Ingredients — Hydrocolloids & Natural Gums,"Guar Gum Powder, Cassia Tora Powder, Tamarind Kernel Powder, Fenugreek Gum, Psyllium Products",Rs.95–100Cr FY24; EBITDA 16–18%; Export-Oriented,Patel Family Promoters,Promoter Directors + Gen-2 Management,Family-owned manufacturing business with technical chemicals/pharma experience and export focus,Strong,Own manufacturing facilities processing guar gum and specialty natural hydrocolloids; exporter for multiple industries,Strong,Ahmedabad Gujarat manufacturing operations with long-standing industrial presence and exports,Strong,Diversified hydrocolloid portfolio serving food pharma nutraceutical oil & gas textile pet food and industrial markets,Moderate-Strong,Technical manufacturing leadership with industry experience; no IIT/PhD evidence publicly verified,Strong,Natural ingredients nutraceuticals food additives and export manufacturing benefit from long-term sector tailwinds,Strong,"Revenue grew from ~Rs.65–70Cr FY22 to ~Rs.95–100Cr FY24; export expansion, new product launches, hiring and capacity additions visible",88,A — Strong Federer Candidate,Strong Pass,"High-quality Ahmedabad manufacturer with export presence, healthy EBITDA profile, differentiated product portfolio, visible succession planning and strong sector tailwinds. Growth is slightly below ideal threshold but overall business quality remains attractive.","One of the few Ahmedabad-based hydrocolloid manufacturers supplying food, pharma and industrial customers globally through a diversified natural gums portfolio.",altrafine.com; LinkedIn; MCA filings; Company filings; Export documentation; Industry sources
Fairchem Organics Ltd,fairchem.in,Ahmedabad,Specialty Chemicals — Oleochemicals & Nutraceutical Ingredients,"Dimer Acid, Linoleic Acid, Isostearic Acid, Sterol Concentrates, Nutraceutical Ingredients",Rs.459.65Cr FY26; EBITDA 4.70% margin,Professional Management Team,CEO & Technical Leadership,Fairfax-backed professionally managed specialty chemicals company with experienced industry leadership,Strong,Established manufacturer of specialty oleochemicals and nutraceutical ingredients with integrated production capabilities,Strong,Ahmedabad-based manufacturing operations with domestic and international market presence,Strong,Leading position in niche oleochemicals and value-added nutraceutical ingredients with export reach,Strong,"Professional management team with MBA, CA and technical industry backgrounds",Strong,"Specialty chemicals, nutraceuticals and aroma ingredients benefit from long-term industrial and consumer demand tailwinds",Moderate,"Revenue grew from approximately Rs.350–370Cr to Rs.450–480Cr during FY22–FY24 with exports, hiring and product expansion, but growth remained below 20 percent",74,B — Probable Federer,probable paas,"Strong manufacturer with differentiated products and professional management, but fails mandatory EBITDA (>15%) and growth (>20%) filters. Also not an unlisted promoter-led SME profile.",Institutionally backed specialty chemicals company serving global markets through differentiated oleochemical and nutraceutical product portfolio.,Fairchem.in; Annual Reports; Investor Presentations; LinkedIn; Company Filings
Elixir Pharma,elixirpharma.in,Ahmedabad,Pharmaceutical Manufacturing — APIs & Formulations,"APIs, Pharmaceutical Formulations, Export Products",Rs.85–90Cr FY24; EBITDA 16–18%,Ahmedabad-based Pharma Promoters,Promoter Directors + Gen-2 Management,Family-owned pharma manufacturing business with pharmacy/science background and active management involvement,Strong,Manufacturer of pharmaceutical products with Gujarat-based production facilities and export operations,Strong,Ahmedabad Gujarat manufacturing operations with domestic and international presence,Strong,Combination of APIs and formulations with export-driven growth strategy,Moderate-Strong,Promoter-led business with pharmacy/science background; technical orientation visible though IIT/PhD evidence not found,Strong,"Indian pharma exports, generics and formulation demand provide strong long-term sector tailwinds",Strong,"Revenue increased from approximately Rs.55–60Cr FY22 to Rs.85–90Cr FY24 with export expansion, hiring, capacity growth and new product launches",92,A+ — High Priority ,Strong Pass,"Meets revenue, EBITDA and growth filters while maintaining manufacturing strength, export orientation, promoter involvement and visible succession planning. One of the strongest matches for the target screening criteria.","Fast-growing Ahmedabad-based pharma manufacturer benefiting from export expansion, product diversification and strong industry tailwinds.",ElixirPharma.in; MCA filings; LinkedIn; Company filings; Industry sources
Shiv Chem Industries,shivchem.com,Ahmedabad,Specialty Chemicals — Chelating Agents & Industrial Chemicals,"EDTA Salts, NTA Salts, DTPA Salts, Water Treatment Chemicals",Rs.75–76Cr FY24; EBITDA ~17%,Sanjiv Girdharlal Vasant Family,Chairman & MD + Gen-2 Directors,Family-owned specialty chemical manufacturer with active Gen-2 involvement and technical chemicals background,Strong,"Manufacturer of specialty chemicals serving pharma, textile, agriculture and water-treatment sectors",Strong,Ahmedabad Gujarat manufacturing operations with export presence,Strong,"Focused portfolio of EDTA, NTA and DTPA products with diversified industrial applications",Moderate-Strong,Promoter-led business with family leadership and technical industry expertise,Strong,"Industrial chemicals, water treatment and export markets provide long-term demand tailwinds",Strong,Revenue grew from approximately Rs.45–50Cr FY22 to Rs.75–76Cr FY24; FY23?FY24 growth around 22%; product expansion and export growth visible,91,A+ — High Priority ,Strong Pass,"Meets all primary screening criteria including revenue band, EBITDA threshold, growth threshold, manufacturing strength, export orientation and active succession planning. Strong recruiter-grade fit.","Growing Ahmedabad specialty chemical manufacturer benefiting from export expansion, diversified end-markets and visible Gen-2 leadership transition.",Audited FY24 Financials; MCA Filings; BSE Filings; Industry Sources
Ascent Yarns Pvt Ltd,ascentyarns.com,Ahmedabad,Technical Textiles & Specialty Dyed Yarns,"Dyed yarns, sewing thread yarns, hosiery yarns, label yarns, furnishing yarns, specialty engineered yarns",Revenue not publicly disclosed; medium-scale exporter (101–500 employees),Vinod Shekhar; Ashvini Shekhar; Anup Khushu,Promoter Directors + Gen-2 Leadership,Promoter-led textile manufacturing business. Vinod Shekhar and Anup Khushu associated since incorporation. Ashvini Shekhar joined board in 2010 indicating active Gen-2 involvement. No IIT/PhD pedigree publicly verified.,Strong,"20+ years manufacturing experience with dedicated dyeing and yarn processing infrastructure. Supplies yarn solutions across garment labels, narrow fabrics, socks, hosiery, furnishings and sewing thread applications. Not a trading company.",Strong,Ahmedabad-based textile manufacturer operating from Gujarat textile ecosystem. Domestic manufacturing and export operations clearly established.,Strong,"Focus on engineered yarn solutions rather than commodity yarns. Company emphasizes innovation, sustainability, CAD/CAM integration, quality systems and customized performance-oriented products for global textile customers.",Moderate,"Promoter-led operating model with deep textile experience. Long manufacturing track record and technical textile expertise visible, but no publicly verified elite technical pedigree or large-scale ERP/SAP transformation evidence.",Strong,"Global apparel sourcing, sustainability requirements and specialty textile demand support long-term opportunity. Export-oriented positioning provides exposure to international garment and label supply chains.",Moderate,FY25 audited EBITDA margin ~15.57% passes threshold. FY25 revenue growth ~10.76% remains below aggressive 20% target. FY23 performance was weak before recovery. Revenue band and shareholding still require MCA confirmation.,76,B+ — probable federer,Probable Pass,"Strong exporter with verified EBITDA above 15%, established manufacturing capability, visible Gen-2 succession and 20+ year operating history. However growth remains below target threshold and audited revenue/shareholding are not publicly available. Suitable for leadership mapping with financial verification pending.","Specialty yarn manufacturer serving global garment and textile brands through innovation, sustainability and customized engineered yarn solutions rather than pure commodity textile production.",ascentyarns.com; The Company Check (CIN U17297GJ2003PTC042456); EMIS FY25 financial metrics; MCA director records; company sustainability and manufacturing disclosures
