Company Name,Website,City,Segment,Fail Reason,Gate Failed,Score,Band,Notes
Shree Meldi Chem Pvt Ltd,N/A,Ahmedabad,Chemicals,Revenue Rs.25-34 Cr - below Rs.50 Cr minimum ICP threshold. Small operation insufficient scale.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.25-34 Cr - small operation below threshold
Pooja Heavy Engineering Pvt Ltd,N/A,Ahmedabad,Heavy Engineering,Failed qualification. No sufficient evidence of revenue scale systems or growth signals meeting ICP criteria.,General Fail - Insufficient Qualification,0,D - Not ICP,Fails overall ICP qualification criteria
Kandla Grey Industries,N/A,Ahmedabad,Industrial Materials,Revenue Rs.30-38 Cr - below Rs.50 Cr minimum ICP threshold. Commodity-focused with limited differentiation.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.30-38 Cr - below threshold + commodity profile
Foalha Industries Corp,N/A,Ahmedabad,Industrial / Manufacturing,Revenue Rs.18-29 Cr - below Rs.50 Cr minimum ICP threshold. Too small for ICP.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.18-29 Cr revenue - too small
Ganesh VMC & CNC Machining Pvt Ltd,N/A,Ahmedabad,Precision Engineering / CNC,Revenue Rs.14-22 Cr - significantly below Rs.50 Cr minimum ICP threshold. Too small.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.14-22 Cr revenue - too small
Nisha Chemical Pvt Ltd,N/A,Ahmedabad,Chemicals,Revenue Rs.12-24 Cr - below Rs.50 Cr minimum ICP threshold. Small-scale chemical operation.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.12-24 Cr revenue - too small
Patel Filters Pvt Ltd,N/A,Ahmedabad,Industrial Equipment / Filters,Failed qualification. Revenue below Rs.50 Cr minimum ICP threshold. Insufficient scale and systems evidence.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Below Rs.50 Cr threshold - general fail
Prakash Agriculture Industries Pvt Ltd,N/A,Ahmedabad,Agri Inputs,Revenue ~Rs.24 Cr - below Rs.50 Cr minimum ICP threshold. Agri inputs segment too small for ICP.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.24 Cr - low revenue agri inputs segment
Atul Ltd,atul.co.in,Ahmedabad,Specialty Chemicals,Publicly listed large conglomerate. Revenue well above Rs.500 Cr upper ICP cap. Multi-business group - not promoter-led independent.,Auto-Disqualify - Listed + Revenue Too High,0,D - Not ICP,Large listed enterprise - auto disqualify
Meghmani Organics,meghmaniorganics.com,Ahmedabad,Specialty Chemicals,Publicly listed on BSE/NSE. Revenue far above Rs.500 Cr. Large listed company - completely outside unlisted private ICP scope.,Auto-Disqualify - Listed + Revenue Too High,0,D - Not ICP,Listed entity - outside target size
Tirupati Industries,N/A,Ahmedabad,Chemicals,No strong specialty moat identified. Insufficient differentiation - commodity chemicals profile. C3 criterion fails.,C3 Fail - No Differentiation,0,D - Not ICP,No specialty moat - weak qualification signals
Shree Pushkar Chemicals,shreepushkar.com,Rajasthan / Mumbai,Specialty Chemicals,Publicly listed on BSE. Operations in Rajasthan - not Ahmedabad. Listed status + wrong city = double disqualify.,Auto-Disqualify - Listed + E2 Gate Fail,0,D - Not ICP,Listed + not Ahmedabad - needs deeper validation but likely outside ICP
Supramate Industries,N/A,Ahmedabad,Chemicals,No website found. No clear growth signals. No systems evidence. Zero digital presence or verifiable company profile.,No Data + Weak Signals,0,D - Not ICP,Weak qualification signals - auto disqualify
Rossari Biotech,rossari.com,Mumbai,Specialty Chemicals,Publicly listed on BSE. Mumbai-based. Revenue significantly above Rs.500 Cr. Not Ahmedabad. Triple disqualify.,Auto-Disqualify - Listed + Revenue Too High + Not Ahmedabad,0,D - Not ICP,Large specialty chemicals player - outside ICP size
Vinati Organics,vinatiorganics.com,Mumbai / Raigad,Specialty Chemicals,Publicly listed on NSE/BSE. Large cap company. Mumbai HQ - manufacturing in Raigad. Revenue far above Rs.500 Cr.,Auto-Disqualify - Listed + Revenue Too High + Not Ahmedabad,0,D - Not ICP,Listed - significantly above target band
Prithi Industries,N/A,Ahmedabad,Engineering,Estimated revenue ~Rs.20 Cr - significantly below Rs.50 Cr minimum ICP threshold. Too small.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Estimated Rs.20 Cr revenue - too small
Gala Precision Engineering,galaprecision.com,Ahmedabad,Precision Engineering,Estimated revenue ~Rs.25 Cr - below Rs.50 Cr minimum ICP threshold. Insufficient scale.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Estimated Rs.25 Cr - below minimum threshold
Kiri Industries,kiriindustries.com,Ahmedabad,Dyes & Chemicals,Publicly listed on BSE. Large listed entity - not promoter-led independent profile required by ICP. Outside ideal Federer profile.,Auto-Disqualify - Listed + Large Entity,0,D - Not ICP,Outside ideal promoter-led profile
Maheshraj Chemicals Pvt Ltd,N/A,Ahmedabad,Chemicals,No website. No strong moat identified. Weak differentiation - commodity chemicals. No meaningful company profile found.,C3 Fail - No Differentiation + No Data,0,D - Not ICP,No strong moat - auto disqualify
Krion Hydraulic Needs Pvt Ltd,N/A,Ahmedabad,Industrial Equipment,Insufficient qualification evidence. Needs more proof of scale and systems maturity. Cannot confirm Rs.50 Cr+ revenue.,Revenue Unconfirmed + Weak Systems,0,D - Not ICP,Needs proof of scale and systems - insufficient data
Rathee Industries,N/A,Ahmedabad,Engineering,Estimated revenue below Rs.50 Cr minimum ICP threshold. Too small.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Estimated less than Rs.50 Cr - too small
Priti Oxidyes Industries,N/A,Ahmedabad,Dyes & Chemicals,Small-scale operation. Revenue below Rs.50 Cr minimum ICP threshold. Commodity dyes - insufficient scale.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Small-scale commodity dyes operation
Rakshit Agro Industries,N/A,Ahmedabad,Agri Inputs,Revenue below Rs.50 Cr minimum ICP threshold. Agri inputs segment - too small for ICP.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Too small for ICP
Sagar Drugs & Pharmaceuticals,sagardrugs.com,Ahmedabad,Pharma / Chemicals,Generic pharma exposure - not sufficiently differentiated specialty pharma. Authorized capital only Rs.31 lakh. Revenue declining.,C3 Fail - Not Differentiated + Revenue Declining,0,D - Not ICP,Generic pharma - not specialty differentiated
Vadilal Chemical Ltd,vadilalchemicals.com,Ahmedabad,Industrial Gases,Vadilal Group subsidiary - large conglomerate ice cream + chemicals + real estate. Gandhi family dispute ongoing. Professional management transition March 2025.,Auto-Disqualify - Large Group Subsidiary,0,D - Not ICP,Promoter-driven character completely lost
Vihita Chem Private Limited,vihita.com,Ankleshwar Bharuch,API Intermediates - Basket A,Primary operations Ankleshwar/Bharuch - NOT Ahmedabad. No operational presence in Ahmedabad confirmed.,E2 Gate Fail - Not Ahmedabad,0,D - Not ICP,Manufacturing in Ankleshwar only
Axel Industries Ltd,N/A,Vadodara / Delhi,Specialty Manufacturing,Axel Polymers = Vadodara (Savli). Axel Industries = Delhi. Neither company has Ahmedabad operations.,E2 Gate Fail - Not Ahmedabad,0,D - Not ICP,Wrong city - not Ahmedabad
Pragna Industries,pragnaindustries.com,Ahmedabad,Reactive Dyes - Basket A,Sole proprietorship. Annual turnover Rs.50L - far below Rs.50Cr minimum. Commodity reactive dyes. E1 gate unclear - retailer + manufacturer listed.,Revenue Too Small + E1 Unclear,13,D - Not ICP,Sole proprietor Rajesh Naliyadhara
Aerolam Insulations Pvt Ltd,aerolaminsulations.in,Ahmedabad,Technical Insulation - Basket C,Real estate promoter - freshly diversified into manufacturing. No technical background. No ERP/SAP evidence. Zero systems maturity - C7=0.,C4 + C7 Both Weak,43,C - Borderline Fail,S&D Apparel equivalent - no operational infrastructure
Apex Dye-Chem Industries,N/A,Ahmedabad,Dyes - Basket A,Company not properly identified - possibly Apex Chemical which is sole proprietorship making commodity reactive dyes.,Not Properly Identified + Likely Sole Proprietor,0,D - Not ICP,Could not find MCA registered entity
Vatva Organics,N/A,Ahmedabad,Chemicals - Basket A,No website found. No MCA data found. No company profile found. Zero digital presence.,No Website + No Data,0,D - Not ICP,Auto-disqualify - no visible activity
Shah Bhogilal Jethamal Pvt Ltd,N/A,Ahmedabad,Fire Safety Equipment,1933 fire fighting equipment manufacturer - fire hydrants hoses monitors. Not Basket A or C segment - wrong industry for ICP.,Wrong Segment - Not Basket A or C,0,D - Not ICP,Fire safety equipment not specialty chemicals or precision engineering
Anar Chemicals,N/A,Ahmedabad,Specialty Dyes - Basket A,Borderline C band. Strong niche - Airforce smoke dyes + exports. BUT LLP structure + no ERP confirmed + small revenue ~Rs.50Cr.,C Band Borderline - No ERP,58,C - Borderline,Revisit if ERP confirmed - could move to B band
Asiatic Colours Chem Industries,N/A,Ahmedabad,Specialty Dyes - Basket A,Borderline C band. 250-500 employees good but commodity leather/wool dyes segment. No systems maturity confirmed. No website found.,C Band Borderline - Commodity Dyes,58,C - Borderline,251-500 employees interesting but verify differentiation
Sagar Drugs & Pharmaceutical,N/A,Ahmedabad,Pharma,Authorized capital Rs.31L only. Networth decreased 9.83%. 4 family directors. No systems.,Revenue Declining + Too Small,0,D - Not ICP,Tiny operation
Finecure Pharmaceuticals Ltd,finecurepharma.com,Ahmedabad,Pharma Formulations,Revenue CAGR -9% EBITDA CAGR -83% FY25. Declining business. Chandrans group company.,Revenue Declining - Group Company,45,C - Fail,EBITDA -83% structural problem
Orbit Pharma Laboratories,orbitpharma.in,Ahmedabad,Generic Pharma,Generic pharma + UK/Europe distribution hybrid. Assignment explicitly excludes generic pharma. E1 borderline.,Generic Pharma - Not ICP Segment,0,D - Not ICP,Branded generics + distribution
Vasa Group - Pragna Group,N/A,Ankleshwar,Dyes - Basket A,Operations Ankleshwar/Panoli - NOT Ahmedabad. E2 gate fail.,E2 Gate Fail,0,D - Not ICP,Wrong city
